Description,Title
2* was for Delivery. Because it was worst. I got my product after 2 weeks.READ MORE,Could be way better
very bad serviceREAD MORE,j5
Nice delivered on time. Lags while switching from one apps to other.READ MORE,Value-for-money
"Heating issue with phone , n no good technical support from Flipkart.READ MORE",Absolute rubbish!
"Flipkart - once upon a time World class has become worser than local class. Their delivery team is very unprofessional and team of Liars. Without calling us OR coming to the house for delivery, they send an email that ""delivery was delayed as customer was unavailable"".  We are at home 24X7 and waiting for the product. But Flipkart sent an email that delivery is delayed because we are not available at home. What a false information.. This is the THIRD TIME occurance and earlier my Samsung Phon...READ MORE",Pathetic Delivery and flipkart delivery is bundle of lies
Happy with the service and phoneREAD MORE,Just wow!
good phone as per my satisfaction thanks for flip kart on time deliveryREAD MORE,Awesome
Camara Glas demenjREAD MORE,Met Expectations
Good delivery by flipkart but this mobile internet speed is not goodREAD MORE,Just okay
my fone bill print send meREAD MORE,Good quality product
Yah device heat kar raha hai ek do apps use karne ke baad baki sabhi chije mast hai agar heating problem solve ho jaaye to ye device 5+ star haiREAD MORE,Very Good
Always best service provider is flipkart. ...☺ Thank you for the speedy delivery service.READ MORE,Terrific purchase
Flipkart no.1 online company  best....READ MORE,Good quality product
Delivery good and product is bestREAD MORE,Must buy!
"Jio welcome offer code is already redeemed!Flipkart/Samsung both are giving jios helpline no.!Huh, i got very bad experienceREAD MORE",Waste of money!
Fabulous phone on time delivery Happy with services......READ MORE,Very Good
Timely DeliveryREAD MORE,Really Nice
fast deliver & great response from customer careREAD MORE,Best
Satify your srviceREAD MORE,Excellent
very good serviceREAD MORE,Must buy!
Good service...same product....change my view of online shopping..thanx flipkart for ptoviding me my j5 on such a low rate yhan markeyREAD MORE,Really Nice
Bad camera quality.....mere hi pas defect aaya h...dusro k pas accha h iska camera...READ MORE,Pretty good
i guess flipkart fooled billion people and delievering dumb products and also not exchanging n returning them..all the schemes and sales were just a trap to fool us..from last 15 days its been a mental agony & distress as they told me to return my money agter pickup up...nor the pickup yet nor my money was return..fake promises fake sales.!!!!!!!!!!!!!!!!!!!!!READ MORE,Deliever Dad Phone
It's best in all mobile devices in our class Superb.............thanks to flipkart & samsungREAD MORE,Perfect product!
Delivery too late.READ MORE,Horrible
Dekha Kuch aur Nikla Kuch aurREAD MORE,Terrible product
Looking is superb and build quality is better than previous J5 still have something to work on e.g. camera at low light conditions but i get this phone in 9891 rs in this price it beats competition by big margin.... I m fan of its premium looking.. Ui is also handy...bst phone available below 12000 in market by SamsungREAD MORE,Best phone in budget
Superb mobile for this rate & I thanks to flipkartREAD MORE,Mind-blowing purchase
Very good phone at this price.i got this phone for 9891/-only in big billion days.flipkart delivery was very fast.READ MORE,Excellent product
"The phone has heating issue if it less can manage but it burns. I called within time-frame they said they will give me a call,  never calledREAD MORE",Utterly Disappointed
Superb fone and servise flipcartREAD MORE,Excellent
I cannot expect a better mobile than this. It has all the features of Rs 30000 mobile. Very handy go for it. Nd of course flipkarts quick service & gr8 packaging. Five stars for flipkart as well.READ MORE,Classy product
I got my product at mentioned delivery day...READ MORE,Worth the money
I got the product earlier than mentionedREAD MORE,Fair
I would like to thank Flipkart for their superb service and good offers. This phone is very good for average smartphone usersREAD MORE,Good phone and superb delivery service by Flipkart
Flifcart very very poor serviceREAD MORE,Just wow!
Awesome delivery....READ MORE,Classy product
Great time deliveryREAD MORE,Must buy!
Awesome phone great deals thanks to flipkartREAD MORE,Perfect product!
Mobile is good but flipkart services worest for time to time  shipping and delivery .so don't buy any products in flipkart. Vvvvvv bad experience in flipkart for this product.READ MORE,Fair
I have a very bad experience with the delivery....ekart show no response from the customer without delivery..I try lots of time with the flipkart then I got the number of  concern person in ekart...then only my delivery possible...ekart customer care service is the worst and telephone number is waist of time. ...READ MORE,Biggest mistake of my life!
Delivery is late.Not inform to relative person.READ MORE,Faced minor issues
Super service but fast delivery productsREAD MORE,Excellent
i got a phne which has scratches so please xchnge my piece ....READ MORE,Really Nice
Guys plzzz don't buy any product from Flipkart Worst serviceREAD MORE,Moderate
Flipkart is amazing and very good serviceREAD MORE,Excellent
abhi tak muje iska invoice mail ni kiya gya pls kr doREAD MORE,Good quality product
Dilevry is very painfull.READ MORE,Overpriced
"Received faulty piece from flipkart  and returned after two days as phone was heating too much.refund was yet not completed. i checked the battery that was ok, but problem was coming on sensors as all were showing temperature more than 60 *C.Flip kart say they refund amount within three days as return was completed on 13 October payment yet not cleared from flip kart they are still processing.(13,14,15 three day complete).READ MORE",most farzi cell phone (heating problem of sensors)
I received safely  without any breaking   but not  door deliveredREAD MORE,Terrific
"What a hell that flipkart is playing with customers I purchase a Samsung j5 mobile, when I insert my sim card it is directly asking for pattern lock. I shocked that they sent me used mobile. I don't know the fault is from Samsung or flipkart. Just my request is don't buy anything in flipkart.READ MORE",Utterly Disappointed
Bettri is lowREAD MORE,Met Expectations
Not better.becoz very warm (hot) after little use. Mein isnu kharid  ke galti kiti hai koi hor na karna. Really this is not good. Only wastage of money.READ MORE,Did not meet expectations
Delievered j5-6 before schedule date....excellent service by flipkat.READ MORE,Just wow!
I am happy with e card serviceREAD MORE,Classy product
Amazing product bina paise toREAD MORE,Classy product
Very fast deliveryREAD MORE,Highly recommended
The star not for product its for your very very late service.READ MORE,Useless product
Good quality of phone and delivery time was excellentREAD MORE,Very Good
Ek aur chaiye ishi price parREAD MORE,Terrific
Good serviceREAD MORE,Good choice
Super keka.READ MORE,Value-for-money
As iam not available you have kindly and safely delivered mobile to my neighbour. Thank you for thatREAD MORE,Fabulous!
"Amazing packing, quick delivery.READ MORE",Best in the market!
BakwaasREAD MORE,Did not meet expectations
Awesome service by supercomnet along with Flipkart.....READ MORE,Excellent
Whenever I need help from u which product I hv tkn from u Samsung galaxy j5 6 2016 New edition please help me whenever i need it help me bec first day screen was not working only then next day it started working nicely automatically technician came n went saw n went it now I dnt want to return its working nicely its advice pls help me when it's required than I wl buy lot of thinksREAD MORE,Above-average product
So so productREAD MORE,Just okay
ভালোREAD MORE,Good but nothing fancy
It frequently hangs up..have raised a return request.. but they have not accepted.. they did some trouble shoot..  by the time it worked properly. Now am facing thr same issue..READ MORE,Met some expectations
ek daam kadak productREAD MORE,utimate roduct
Its a goood  device but work little bit slower bhsinh tho kadak pis.....READ MORE,Wonderful
"Delivery didn't complete at Home,Delivery Boy forced me to come Nearest Railway Station which is about 6km from my delivery address.READ MORE",Worthless
Awesome delivered!!! Phone is great n good in price n finishing is also just speechlessREAD MORE,Terrific purchase
Nice but not the best in prince range.READ MORE,Nice product
I had opted for no cost emi but after buying whole charge was costed to me.bad seller experienceREAD MORE,Very Good
BakvashREAD MORE,Biggest mistake of my life!
"DO NOT PURCHASE ITI have purchased it but after only 3 months, due to just one small drop its screen was damaged and no any warrenty will work so now at their service center they give me bill of 5600 and now it become a scrap so plz my humble request to you whenever you purchase a phone of more than 12000 always take insurance for it so even if physical breakage also includes in insurance and DONT PURCHASE THESE PHONE .....READ MORE",TOTALLY FLOP
